Date,Open,High,Low,Close,Volume,Quote_Volume,48-zscore
2021-10-02 19:35:00,0.90450000,0.90900000,0.90400000,0.9076,27896.00000000,25266.57110000,
2021-10-02 19:40:00,0.90780000,0.90790000,0.90120000,0.9029,8482.00000000,7677.27950000,
2021-10-02 19:45:00,0.90140000,0.90180000,0.89870000,0.9011,10622.00000000,9562.68930000,
2021-10-02 19:50:00,0.90090000,0.90110000,0.90040000,0.9006,822.00000000,740.47640000,
2021-10-02 19:55:00,0.90080000,0.90500000,0.90080000,0.905,12038.00000000,10882.23570000,
2021-10-02 20:00:00,0.90450000,0.90650000,0.90440000,0.9064,2530.00000000,2291.68860000,
2021-10-02 20:05:00,0.90650000,0.90650000,0.90150000,0.9034,3542.00000000,3205.31560000,
2021-10-02 20:10:00,0.90340000,0.90340000,0.89660000,0.9002,17587.00000000,15798.15720000,
2021-10-02 20:15:00,0.90080000,0.90280000,0.89910000,0.9006,4921.00000000,4434.02310000,
2021-10-02 20:20:00,0.90060000,0.91070000,0.90050000,0.9074,28330.00000000,25659.96970000,
2021-10-02 20:25:00,0.90780000,0.90970000,0.90460000,0.909,1927.00000000,1745.92570000,
2021-10-02 20:30:00,0.90900000,0.91330000,0.90750000,0.9129,16842.00000000,15326.30250000,
2021-10-02 20:35:00,0.91290000,0.91320000,0.90910000,0.9122,10744.00000000,9796.19440000,
2021-10-02 20:40:00,0.91110000,0.91420000,0.91110000,0.9126,13737.00000000,12537.86000000,
2021-10-02 20:45:00,0.91230000,0.91420000,0.91210000,0.9134,6205.00000000,5663.41770000,
2021-10-02 20:50:00,0.91340000,0.91660000,0.91260000,0.9159,10320.00000000,9437.37880000,
2021-10-02 20:55:00,0.91500000,0.91640000,0.91460000,0.9148,3302.00000000,3022.36350000,
2021-10-02 21:00:00,0.91480000,0.91680000,0.91480000,0.9157,11240.00000000,10298.18410000,
2021-10-02 21:05:00,0.91540000,0.91740000,0.91530000,0.9168,4804.00000000,4404.44110000,
2021-10-02 21:10:00,0.91620000,0.91800000,0.91270000,0.9129,8075.00000000,7397.43900000,
2021-10-02 21:15:00,0.91300000,0.91560000,0.90670000,0.9079,28473.00000000,25877.30290000,
2021-10-02 21:20:00,0.90800000,0.90990000,0.90780000,0.9099,13790.00000000,12521.74300000,
2021-10-02 21:25:00,0.90870000,0.90920000,0.90460000,0.9071,9730.00000000,8831.64570000,
2021-10-02 21:30:00,0.90700000,0.91560000,0.90590000,0.9133,12643.00000000,11492.07420000,
2021-10-02 21:35:00,0.91270000,0.91460000,0.91070000,0.914,703.00000000,640.86790000,
2021-10-02 21:40:00,0.91510000,0.91960000,0.91380000,0.9138,17917.00000000,16437.28270000,
2021-10-02 21:45:00,0.91380000,0.91910000,0.91370000,0.9188,4224.00000000,3875.09740000,
2021-10-02 21:50:00,0.91790000,0.91880000,0.91670000,0.9173,7205.00000000,6611.15090000,
2021-10-02 21:55:00,0.91760000,0.91990000,0.91760000,0.9199,6044.00000000,5555.63910000,
2021-10-02 22:00:00,0.91890000,0.92180000,0.91890000,0.9204,5820.00000000,5357.03310000,
2021-10-02 22:05:00,0.92180000,0.92190000,0.91380000,0.9177,7861.00000000,7206.61220000,
2021-10-02 22:10:00,0.91780000,0.91800000,0.91550000,0.9177,1843.00000000,1691.11380000,
2021-10-02 22:15:00,0.91770000,0.91780000,0.91200000,0.9135,3892.00000000,3558.34920000,
2021-10-02 22:20:00,0.91340000,0.91450000,0.91310000,0.9134,17433.00000000,15929.21040000,
2021-10-02 22:25:00,0.91440000,0.91440000,0.91060000,0.9127,937.00000000,855.15620000,
2021-10-02 22:30:00,0.91280000,0.91280000,0.90810000,0.9099,12677.00000000,11538.63800000,
2021-10-02 22:35:00,0.91160000,0.91820000,0.91130000,0.9165,8955.00000000,8198.19160000,
2021-10-02 22:40:00,0.91670000,0.91760000,0.91650000,0.9175,751.00000000,688.85330000,
2021-10-02 22:45:00,0.91740000,0.91990000,0.91560000,0.9198,4911.00000000,4508.86480000,
2021-10-02 22:50:00,0.91960000,0.92180000,0.91820000,0.9207,3270.00000000,3009.77250000,
2021-10-02 22:55:00,0.92100000,0.92200000,0.91440000,0.9168,59093.00000000,54158.57980000,
2021-10-02 23:00:00,0.91660000,0.91680000,0.91440000,0.9144,8121.00000000,7434.13740000,
2021-10-02 23:05:00,0.91590000,0.91590000,0.91020000,0.9108,7725.00000000,7052.33780000,
2021-10-02 23:10:00,0.91060000,0.91060000,0.90650000,0.9076,3488.00000000,3165.39480000,
2021-10-02 23:15:00,0.90750000,0.90760000,0.90410000,0.9075,1938.00000000,1755.27650000,
2021-10-02 23:20:00,0.90740000,0.90740000,0.90290000,0.9029,6220.00000000,5631.00300000,
2021-10-02 23:25:00,0.90310000,0.90490000,0.88980000,0.8937,93278.00000000,83609.44850000,
2021-10-02 23:30:00,0.89330000,0.89330000,0.88770000,0.8919,31914.00000000,28363.92340000,
2021-10-02 23:35:00,0.89050000,0.89420000,0.88630000,0.8879,11509.00000000,10249.60670000,
2021-10-02 23:40:00,0.88630000,0.89010000,0.88600000,0.8889,5446.00000000,4839.01280000,
2021-10-02 23:45:00,0.88840000,0.89220000,0.88720000,0.8872,13094.00000000,11635.23130000,
2021-10-02 23:50:00,0.88720000,0.89180000,0.88560000,0.8918,19119.00000000,16980.23430000,
2021-10-02 23:55:00,0.89010000,0.89050000,0.88880000,0.8895,4501.00000000,4002.52300000,
2021-10-03 00:00:00,0.88910000,0.89650000,0.88910000,0.8943,4871.00000000,4344.71240000,
